[Wed Sep 04 16:42:29.915267 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:29.915272 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.060336 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.060377 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.060391 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.060404 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.197787 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.197806 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.197812 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.197818 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.335919 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.335942 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.335948 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.335953 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.469082 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.469147 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.469160 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.469172 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.593515 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.593541 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.593553 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:42:30.593564 2019] [php7:warn] [pid 1318] [client ::1:46570] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 17:30:20.957483 2019] [mpm_prefork:notice] [pid 1250] AH00169: caught SIGTERM, shutting down
[Wed Sep 04 20:22:51.918012 2019] [mpm_prefork:notice] [pid 1042] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Wed Sep 04 20:22:52.161014 2019] [core:notice] [pid 1042] AH00094: Command line: '/usr/sbin/apache2'
[Wed Sep 04 21:08:50.997059 2019] [php7:notice] [pid 1083] [client ::1:57522] PHP Notice:  Undefined variable: product in /var/www/html/discountCalculator/display.php on line 26
[Wed Sep 04 21:08:51.006769 2019] [php7:notice] [pid 1083] [client ::1:57522] PHP Notice:  Undefined variable: price in /var/www/html/discountCalculator/display.php on line 28
[Wed Sep 04 21:08:51.006789 2019] [php7:notice] [pid 1083] [client ::1:57522] PHP Notice:  Undefined variable: discount in /var/www/html/discountCalculator/display.php on line 30
